model,loss,learning_rate,val_NDCG@10,val_NDCG@50,val_Recall@10,val_Recall@50,val_MRR,test_NDCG@10,test_NDCG@50,test_Recall@10,test_Recall@50,test_MRR,train_s
GPT2Rec,bpr,0.003,0.3613,0.3735,0.4566,0.5113,0.3338,0.3654,0.3767,0.4783,0.5284,0.3325,97.1
GPT2Rec,bpr,0.005,0.3039,0.321,0.4212,0.4952,0.2713,0.3166,0.3327,0.4381,0.5117,0.2815,96.7
GPT2Rec,bpr,0.01,0.2393,0.2598,0.3312,0.4277,0.2161,0.2277,0.2488,0.3244,0.4214,0.2034,92.1
GPT2Rec,bpr-max,0.0005,0.3942,0.3991,0.5145,0.537,0.3574,0.3668,0.3799,0.4749,0.5351,0.3348,103.1
GPT2Rec,bpr-max,0.001,0.3873,0.3948,0.5113,0.5466,0.3495,0.3633,0.3743,0.4749,0.5251,0.33,103.9
GPT2Rec,bpr-max,0.003,0.3668,0.3803,0.4823,0.5434,0.3334,0.3463,0.356,0.4716,0.5151,0.3092,103.4
GPT2Rec,bpr-max,0.005,0.3221,0.3445,0.4212,0.5177,0.2965,0.2955,0.3125,0.4147,0.4916,0.2627,98.0
GPT2Rec,bpr-max,0.01,0.292,0.3062,0.3955,0.4598,0.2635,0.2763,0.2986,0.3746,0.4716,0.2508,97.2
GPT2Rec,cross-entropy,0.0005,0.3607,0.3763,0.4727,0.5466,0.3283,0.3701,0.3827,0.505,0.5652,0.3302,98.3
GPT2Rec,cross-entropy,0.001,0.3707,0.3882,0.4727,0.5531,0.3422,0.3673,0.3875,0.4816,0.5753,0.3352,91.0
GPT2Rec,cross-entropy,0.003,0.3536,0.3663,0.4662,0.5241,0.3209,0.3356,0.3515,0.4615,0.5351,0.2993,100.8
GPT2Rec,cross-entropy,0.005,0.3148,0.3363,0.4116,0.508,0.2892,0.2829,0.3083,0.4047,0.5184,0.2511,95.9
GPT2Rec,cross-entropy,0.01,0.2646,0.2854,0.373,0.4695,0.2363,0.2472,0.2784,0.3545,0.4983,0.2213,93.0
GPT2Rec,top1,0.0005,0.3634,0.3772,0.4855,0.5466,0.3272,0.3682,0.3842,0.4816,0.5552,0.3362,93.9
GPT2Rec,top1,0.001,0.369,0.3891,0.4984,0.5852,0.333,0.3694,0.3902,0.4849,0.5786,0.3378,92.6
GPT2Rec,top1,0.003,0.3186,0.3402,0.4405,0.537,0.2855,0.3132,0.3358,0.4582,0.5585,0.274,94.1
GPT2Rec,top1,0.005,0.2087,0.2376,0.3215,0.4469,0.1818,0.1834,0.2216,0.2977,0.4716,0.158,93.0
GPT2Rec,top1,0.01,0.107,0.1447,0.1704,0.3376,0.0977,0.0943,0.1321,0.1639,0.3411,0.083,92.4
